,author,title,resolution_type,resolution_criteria,fine_print,description,publish_time,close_time,resolve_time
https://www.metaculus.com/questions/29221/kp-lineage-less-than-50-of-the-c19-variants-in-us-when/,johnnycaffeine,"Before January 5, 2025, will the KP lineage constitute less than 50% of the COVID-19 variants monitored in the US?",,"This question resolves **Yes** if before January 5, 2025, according to CDC's [variant proportions page](https://covid.cdc.gov/covid-data-tracker/#variant-proportions)  the combined weighted estimate for all KP variants in the United States is below 50% in any period ending between November 9, 2024, and January 4, 2025, inclusive. ",.p,.p,11/4/24,11/5/24,1/4/25
https://www.metaculus.com/questions/28704/birdcast-reports-1b-birds-flying-in-q4-2024/,johnnycaffeine,"Will BirdCast report 1 billion birds flying over the United States at any point before December 1, 2025?
",,"This question resolves as **Yes** if, after October 7, 2024, and before December 1, 2025, BirdCast's [Live bird migration maps](https://birdcast.info/migration-tools/live-migration-maps/) tool reports ≥1000.0 million birds in flight simultaneously over the United States. If this does not occur, this question resolves as **No**.","The time zone for this question is Eastern Time (ET), as that is the one used by BirdCast.

In case of the resolution source being unavailable or no longer timely updated before the question can resolve, resolution will wait until January 7, 2025 for the bird migration traffic numbers up to November 30, 2024, 23:50 ET to be shown, at which point this question will be **annulled** if the numbers are still not shown.",.p,11/4/24,11/5/24,12/1/24
https://www.metaculus.com/questions/5201/kamala-harris-presidency-before-2025/,johnnycaffeine,"Will Kamala Harris be president before January 1, 2025?",,"This question will resolve as Yes if Kamala Harris is the US President for at least 30 consecutive days at any point before January 1, 2025. Kamala Harris becoming president by winning the 2024 election is not sufficient for positive resolution.",.p,.p,11/4/24,11/5/24,1/1/25
,johnnycaffeine,Will Donald Trump Lose in New York State by under 6.0 points in the 2024 election?,,"This question resolves as **Yes** if Donald Trump loses the popular vote in New York State in the 2024 presidential race by less than 6.0 points. If he loses by greater than or equal to 6.0 points, this question resolves as **No**.",Resolves according to [credible sources](https://www.metaculus.com/help/faq/#definitions) including media projections.,"In the 2022 gubernatorial election, the Democratic governor, Kathy Hochul, won by 6.39 points over her Republican opponent. In 2020, Joe Biden won the presidential popular vote in NYS by 23.1 points. On October 27, 2024, Donald Trump held a rally in Madison Square Garden.",11/4/24,11/5/24,11/8/24
,johnnycaffeine,"Will Oregon voters approve Measure 118, which would initiate a universal basic income in the state, funded by corporate tax?",,"This question resolves as **Yes** if Oregon Measure 118 is approved in the 2024 general election, according to [credible source](https://www.metaculus.com/faq/#definitions) reporting. If this does not occur, this question resolves as **No**.","Please note that this question is looking only at whether the state's voters approve the ballot measure. Therefore such factors as its effectiveness date, funding, repeal, litigation, enforcement, or other such issues will not be considered when resolving this question.","Ballotpedia: [Oregon Measure 118, Corporate Tax Revenue Rebate for Residents Initiative (2024)](https://ballotpedia.org/Oregon_Measure_118,_Corporate_Tax_Revenue_Rebate_for_Residents_Initiative_(2024))",11/4/24,11/5/24,11/6/24
,johnnycaffeine,"Will Elon Musk be the richest person in the world on December 31, 2024, according to Forbes?",,"This question resolves as **Yes** if according to the [Forbes Real-Time Billionaires List](https://www.forbes.com/real-time-billionaires/#482980403d78) Elon Musk is in first place on December 31, 2024. Otherwise, this question resolves as **No**.","If there is a tie, this resolves as **No**. If the resolution source is unavailable on December 31, 2024, resolution will wait until it is available (at which point it resolves based on the data shown), until January 3, 2024, at which point this question will be **annulled**. For more details on various edge cases regarding availability of or changes to the resolution source, please see Metaculus's ambiguity and annulment policies [here](https://www.metaculus.com/help/faq/#ambiguous-annulled).  ","As of October 8, 2024, Elon Musk is ranked first on the list, with $260.8B. Larry Ellison is ranked 2nd, with $211.6 B. Mark Zuckerberg is 3rd, with $205.0 B.",11/4/24,11/5/24,1/1/25
https://www.metaculus.com/questions/3458/impactful-longevity-research-by-2030/,johnnycaffeine,"Will there be a culturally significant development in aging research before January 1, 2025?
",,"In 2019, at a speech at the Foresight Institute, biomedical gerontologist Aubrey de Grey [stated](https://youtu.be/QmoYYewuw-c?t=660):

> I think we are still 15-20 years away [from effective anti-aging therapies] but the anticipation of the therapy by the general public is coming soon, and it is that anticipation that is going to be the point when the shit really hits the fan. If you think about a situation in which less than five years from now [...] in a period of about a week, half of the developed world is going to shift from an expectation that they will live only slightly longer than their parents did, into an expectation that they're going to live far longer than anyone has ever lived.

If half of the people in the developed world came to believe within a period of a week that effective anti-aging therapies were imminent, this would likely be a culturally significant event, perhaps among the most significant in the 2020's.

This question resolves positively if any of the terms ""aging"", ""ageing"", ""anti-aging"", ""anti-ageing"", ""longevity"", ""lifespan"", ""rejuvenation"", or ""life extension"" are mentioned as a direct reference to longevity research\* in any of the following media sources produced before January 1, 2025:

 1. The English Wikipedia's ""In the news"" [section](https://en.wikipedia.org/wiki/Wikipedia:In_the_news).

     or

 2. History.com's summary of events for a year in the 2020's.

     or

 3. The transcript for a primary or general presidential election debate in America.

It also resolves positively if:

 4. A longevity researcher receives Time's Person of the Year for their work on defeating aging.

Otherwise, this question resolves negatively on the 1st of January 2030.

In case of positive resolution, this question retroactively closes 1 day before the triggering event.

*ETA: 2022-04-08: qualifying primary or general presidential election debates are limited to mainstream debates (i.e., Republican and Democratic primaries + general election debates).*

<small>

\* ""longevity research"" here means the research comes from a group whose explicit purpose (as defined by their charter, or their about page on their website, or by some official statement made by the organisation which pertains to their research ends) is to slow, halt, or reverse the natural aging process. Examples of research groups which meet this criteria are the SENS Research Foundation and The Sinclair Lab at Harvard.

</small>",.p,.p,11/4/24,11/5/24,1/1/25
https://www.metaculus.com/questions/6806/lab-grown-organs-used-in-humans-by-2035/,johnnycaffeine,"Will lab-grown complex vital organs be used successfully in humans before 2025?
",,"Before January 1, 2025, will any human live without the assistance of medical life support for at least 100 days after the implantation of a lab-grown heart, liver (or a substantial part of the liver), kidney or lung?

All transplantations need to be considered by medical professionals to have a substantial positive effect on the patient's health, relative to the counterfactual case in which the patient did not receive the transplantation.

For the purposes of this question, 'lab-grown' includes organs cultivated inside a living organism so long as the organs are not naturally ocurring; that is, not merely an organ taken from a non-human and implanted in a human without there having been substantial bioengineering involved to alter the harvested organs.",.p,.p,11/4/24,11/5/24,1/1/25
https://www.metaculus.com/questions/11122/50-killed-by-slaughterbots-by-2035/,johnnycaffeine,"Will ""slaughterbots"" kill at least 50 people outside a military conflict by 2025?

",,This question resolves positively if a credible media outlet reports at least 50 civilians have been killed by autonomous drones before January 1st 2025. The media coverage must conclude that the drones were not under complete human control during the attack(s).,.p,.p,11/4/24,11/5/24,1/1/25
https://www.metaculus.com/questions/17104/3-ai-labs-constrain-capabilities-before-2026/,johnnycaffeine,"Will three or more Frontier AI Labs issue a joint statement committing to constrain their AI's capabilities before 2025?
",,"This question resolves as **YES** if before January 1, 2025, three or more Frontier AI Labs issue a joint statement committing to constrain their AI's capabilities, and **NO** otherwise.

We define a ""Frontier AI Lab"" as one who has trained models within one order of magnitude of the largest known model, which as of April 2023 is GPT-4. For example, as of April 2023, a frontier AI lab would be one which has trained a model with more than 2e24 FLOPs. However, this threshold will change as the largest known model changes.

Compute levels will be established either per credible media reporting or reporting from a credible research institution such as [Epoch](https://epochai.org/) using a best guess point estimate.",.p,.p,11/5/24,11/6/24,1/1/25
https://www.metaculus.com/questions/29507/us-weekly-influenza-hospitalizations-24-25/,Tom_Metaculus,"Will the weekly total number of influenza hospitalizations for the United States for the week of Nov 23, 2024 be more than 2,000?",,"These questions will resolve as the weekly total number of confirmed influenza hospitalizations in the United States for the week ending on Nov 23, 2024, as reported by the Centers for Disease Control (CDC), currently anticipated to be posted at [this dataset](https://github.com/cdcepi/FluSight-forecast-hub/blob/main/target-data/target-hospital-admissions.csv) from the FluSight Forecast Hub.

The value used for resolution will be the number shown in the ""value"" column in target-hospital-admissions.csv with ""location_name"" as ""US"" and the ""date"" corresponding to the relevant week end date.

The CDC uses ""epidemiological weeks"" which begin on Sunday and end on Saturday. To allow for data revisions and reporting delays, this question will resolve according to data shown at the resolution source 4 weeks after the respective end date.","Forecasters please note two things:

-  At the time of this question's launch, the CDC has not yet begun updating the FluSight Forecast Hub dataset with numbers from the 2024-25 season. 

- There is some uncertainty about where the resolution data will be. If the CDC publishes the data at a different location than the one listed above, Metaculus Admins will issue a clarification updating the question accordingly.","According to the CDC, 0.4% of all deaths in the United States from October 2023 to August 2024 [had](https://www.cdc.gov/flu/whats-new/flu-summary-2023-2024.html#cdc_generic_section_8-mortality-surveillance) influenza listed as an underlying or contributing cause. At its height, for the week ending January 6, 2024, 1.3% of all deaths in the US stemmed from influenza. In the past decade and a half, the CDC [estimates](https://www.cdc.gov/flu-burden/php/about/faq.html#cdc_tools_technologies_features-flu-related-hospitalization) that flu has, with the exception of the outlier year 2020, resulted in 140,000 to 710,000 hospitalizations per year. 

Over the wide sweep of history, much of the [fat tail risk](https://www.nature.com/articles/s41567-020-0921-x) from pandemics has come from influenza. Since 1900, the start of the [late modern medicine](https://pmc.ncbi.nlm.nih.gov/articles/PMC9609744/) era, the deadliest pandemic faced globally [was](https://openpublichealthjournal.com/contents/volumes/V14/TOPHJ-14-128/TOPHJ-14-128.pdf) the 1918 Spanish Flu. It was caused by [H1N1](https://archive.cdc.gov/www_cdc_gov/flu/pandemic-resources/1918-pandemic-h1n1.html) and killed an estimated 2%-3% of the world's population. Other notable influenza pandemics occurred in [1957](https://archive.cdc.gov/www_cdc_gov/flu/pandemic-resources/1957-1958-pandemic.html), [1968](https://archive.cdc.gov/www_cdc_gov/flu/pandemic-resources/1968-pandemic.html), and [2009](https://archive.cdc.gov/www_cdc_gov/flu/pandemic-resources/2009-h1n1-pandemic.htm).

The CDC runs an annual [FluSight](https://www.cdc.gov/flu/weekly/flusight/index.html) forecasting exercise, producing an [ensemble forecast](https://www.cdc.gov/flu/weekly/flusight/flu-forecasts.htm) of weekly influenza hospitalizations compiled from forecasts [submitted](https://github.com/cdcepi/FluSight-forecast-hub) by a number of teams. The forecasts are compared to the ""gold standard"" flu hospitalization data, [described by the CDC here](https://github.com/cdcepi/FluSight-forecast-hub/tree/main/target-data), compiled from the underlying data [here](https://healthdata.gov/Hospital/COVID-19-Reported-Patient-Impact-and-Hospital-Capa/g62h-syeh). The data used is from `Field 34` of the source data, described in the [guidance](https://www.hhs.gov/sites/default/files/covid-19-faqs-hospitals-hospital-laboratory-acute-care-facility-data-reporting.pdf) as follows:

>Information Needed: Previous day’s admissions with laboratory confirmed influenza virus infection

>Description: Enter the total number of patients (adult and pediatric) who were admitted to an inpatient bed on the previous calendar day who had laboratory-confirmed influenza virus infection at the time of admission. Include inpatient, overflow, observation, ED, ED awaiting orders for an inpatient bed, active surge/expansion, ICU, NICU, PICU, newborn and nursery",11/5/24,11/6/24,12/21/24
https://www.metaculus.com/questions/29507/us-weekly-influenza-hospitalizations-24-25/,Tom_Metaculus,"Will the weekly total number of influenza hospitalizations for the United States for the week of Dec 7, 2024 be more than 2,000?",,"These questions will resolve as the weekly total number of confirmed influenza hospitalizations in the United States for the week ending on Dec 7, 2024, as reported by the Centers for Disease Control (CDC), currently anticipated to be posted at [this dataset](https://github.com/cdcepi/FluSight-forecast-hub/blob/main/target-data/target-hospital-admissions.csv) from the FluSight Forecast Hub.

The value used for resolution will be the number shown in the ""value"" column in target-hospital-admissions.csv with ""location_name"" as ""US"" and the ""date"" corresponding to the relevant week end date.

The CDC uses ""epidemiological weeks"" which begin on Sunday and end on Saturday. To allow for data revisions and reporting delays, this question will resolve according to data shown at the resolution source 4 weeks after the respective end date.","Forecasters please note two things:

-  At the time of this question's launch, the CDC has not yet begun updating the FluSight Forecast Hub dataset with numbers from the 2024-25 season. 

- There is some uncertainty about where the resolution data will be. If the CDC publishes the data at a different location than the one listed above, Metaculus Admins will issue a clarification updating the question accordingly.","According to the CDC, 0.4% of all deaths in the United States from October 2023 to August 2024 [had](https://www.cdc.gov/flu/whats-new/flu-summary-2023-2024.html#cdc_generic_section_8-mortality-surveillance) influenza listed as an underlying or contributing cause. At its height, for the week ending January 6, 2024, 1.3% of all deaths in the US stemmed from influenza. In the past decade and a half, the CDC [estimates](https://www.cdc.gov/flu-burden/php/about/faq.html#cdc_tools_technologies_features-flu-related-hospitalization) that flu has, with the exception of the outlier year 2020, resulted in 140,000 to 710,000 hospitalizations per year. 

Over the wide sweep of history, much of the [fat tail risk](https://www.nature.com/articles/s41567-020-0921-x) from pandemics has come from influenza. Since 1900, the start of the [late modern medicine](https://pmc.ncbi.nlm.nih.gov/articles/PMC9609744/) era, the deadliest pandemic faced globally [was](https://openpublichealthjournal.com/contents/volumes/V14/TOPHJ-14-128/TOPHJ-14-128.pdf) the 1918 Spanish Flu. It was caused by [H1N1](https://archive.cdc.gov/www_cdc_gov/flu/pandemic-resources/1918-pandemic-h1n1.html) and killed an estimated 2%-3% of the world's population. Other notable influenza pandemics occurred in [1957](https://archive.cdc.gov/www_cdc_gov/flu/pandemic-resources/1957-1958-pandemic.html), [1968](https://archive.cdc.gov/www_cdc_gov/flu/pandemic-resources/1968-pandemic.html), and [2009](https://archive.cdc.gov/www_cdc_gov/flu/pandemic-resources/2009-h1n1-pandemic.htm).

The CDC runs an annual [FluSight](https://www.cdc.gov/flu/weekly/flusight/index.html) forecasting exercise, producing an [ensemble forecast](https://www.cdc.gov/flu/weekly/flusight/flu-forecasts.htm) of weekly influenza hospitalizations compiled from forecasts [submitted](https://github.com/cdcepi/FluSight-forecast-hub) by a number of teams. The forecasts are compared to the ""gold standard"" flu hospitalization data, [described by the CDC here](https://github.com/cdcepi/FluSight-forecast-hub/tree/main/target-data), compiled from the underlying data [here](https://healthdata.gov/Hospital/COVID-19-Reported-Patient-Impact-and-Hospital-Capa/g62h-syeh). The data used is from `Field 34` of the source data, described in the [guidance](https://www.hhs.gov/sites/default/files/covid-19-faqs-hospitals-hospital-laboratory-acute-care-facility-data-reporting.pdf) as follows:

>Information Needed: Previous day’s admissions with laboratory confirmed influenza virus infection

>Description: Enter the total number of patients (adult and pediatric) who were admitted to an inpatient bed on the previous calendar day who had laboratory-confirmed influenza virus infection at the time of admission. Include inpatient, overflow, observation, ED, ED awaiting orders for an inpatient bed, active surge/expansion, ICU, NICU, PICU, newborn and nursery",11/5/24,11/6/24,1/4/25
https://www.metaculus.com/questions/29141/what-of-tested-flu-sequences-type-a-during-by-apr-2025/,Tom_Metaculus,"Will the CDC report more than 80% of the tested influenza sequences as influenza A during the 2024-25 season through the week ending Dec 21, 2024?",,"This question resolves based on the cumulative percentage of Influenza A sequences since September 29, 2024, of all specimens that have tested positive for influenza in clinical laboratories in the United States nationwide, as reported by the US Centers for Disease Control (CDC). Resolution will be based on the CDC’s first [FluView](https://www.cdc.gov/fluview/index.html) Weekly US Influenza Surveillance Report published that encompasses the entirety of the time period from September 29, 2024, through the week ending Dec 21, 2024.",.p,.p,11/5/24,11/6/24,12/30/24
,johnnycaffeine,"Will Sadiq Khan cease to be mayor of London before January 1, 2025?",,"This question resolves as **Yes** if Sadiq Kahn ceases to be mayor of London, England, at any point before January 1, 2025, according to the City of London's [official website](https://www.london.gov.uk/) or other [credible sources](https://www.metaculus.com/help/faq/#definitions). Otherwise, this question resolves as **No**.","""Ceases to be mayor"" is defined as vacating the office and having a permanent successor. Please note that an announcement alone, such as an announcement of not seeking re-election or an intention to vacate the office at a future date, will not count as ceasing to be mayor. Temporarily being unable to discharge the powers and duties of the office of mayor (due to illness or other reasons causing it to be temporary) will also not count for purposes of this question.","Mayor Kahn faces periodic calls to resign, such as from foreign policy analyst and former aide to Margaret Thatcher [Nile Gardner](https://x.com/NileGardiner/status/1834588669149110754) in September 2024. ",11/5/24,11/6/24,1/1/25
,johnnycaffeine,"Will US airline passenger volume for the Tuesday and Wednesday before Thanksgiving 2024 be up year over year, according to the TSA?",,"This question resolves as **Yes** if total passenger volume for the Tuesday and Wednesday before Thanksgiving, i.e., November 26 and November 27, 2024, exceed the equivalent Tuesday and Wednesday before Thanksgiving in 2023, which was November 21 and November 22, 2023. The resolution source is the TSA checkpoint travel numbers, which can be found at [this link](https://www.tsa.gov/travel/passenger-volumes) for 2024. The archived 2023 TSA passenger volume numbers can be found [here](https://www.tsa.gov/travel/passenger-volumes/2023).

The two days of November 21, 2023 and November 22, 2023, had respective passenger numbers of 2,647,461 and 2,741,610, for a total of 5,389,071. Therefore, this question resolves as **Yes** if total passenger volume for the period of November 21 and November 22, 2024, exceeds 5,389,071 and resolves as **No** if it is less than or equal to 5,389,071.","The question will resolve as soon as the data is posted and accessed by Metaculus Admins. However, if there are delays then resolution will wait up to the end of the quarter to be posted for the time in question. If it has not been posted as of January 7, 2025, when accessed by Admins, this question will be **annulled**.","The Thanksgiving season is one of the busiest times of the year for travel, and 2024 [is expected](https://www.crossroadstoday.com/lifestyle/the-busiest-travel-days-around-thanksgiving/article_1dc81c6f-58c2-543c-a858-ca738283d6f1.html) to break records..",11/5/24,11/6/24,11/29/24
,johnnycaffeine,"Will Robinhood officially announce it is launching a stablecoin, before January 1, 2025?",,"This question resolves as **Yes** if before January 1, 2025, Robinhood Markets, Inc., announces at its blog, which can be accessed through [this link](https://newsroom.aboutrobinhood.com/), that it is launching its own stablecoin. If there is no such announcement posted at that link before January 1, 2025, this question resolves as **No**.","Robinhood's blog will be the sole source used for resolution of this question, regardless of information from other sources. ","According to [Bloomberg](https://finance.yahoo.com/news/robinhood-revolut-explore-joining-170-170622285.html), ""Companies from Robinhood Markets Inc. to Revolut Ltd. are considering launching stablecoins, betting that stricter regulations in Europe and elsewhere will finally loosen Tether Holdings Ltd.’s grip on the rapidly expanding $170 billion digital-asset sector.... A Robinhood spokesperson said it has “no imminent plans to launch this offering.”""",11/5/24,11/6/24,1/1/25
,johnnycaffeine,Will Nvidia earnings for Q3 2024 exceed $0.74 per share?,,"This questions resolves as **Yes** if the reported diluted earnings per share of Nvidia, Inc., for the third quarter of 2024 are >$0.74, based on the earnings report estimated to be released on November 19, 2024.  If they are less than or equal to that number, this question resolves as **No**.",,"Consensus earnings estimates are for an average of $0.74 per share, according to [Yahoo Finance](https://finance.yahoo.com/quote/NVDA/analysis/). ",11/5/24,11/6/24,11/20/24
,johnnycaffeine,Will the number of FBI firearms background checks initiated through the NICS exceed 2.2M for October 2024?,,"This question resolves as **Yes** if the National Instant Criminal Background Check System (NICS), which can be access through [this link](https://www.fbi.gov/file-repository/nics_firearm_checks_-_month_year.pdf/view), shows greater than 2,200,000 background check initiated in October 2024. If the number is less than or equal to 2,200,000, this question resolves as **No**.","Numbers are expected to be reported in the month subsequent, so for example October numbers are expected to be reported in November. In case of reporting delays, resolution will wait, until the question will be annulled in early January 2025 if there are no numbers reported by then for the time in question.","In the long term (since the turn of the 21st Century), firearms sales in the US have risen, surging in 2020, with numbers trending downward since. Starting in July 2024, year-over-year monthly numbers have again begun trending upward.",11/5/24,11/6/24,11/17/24
,johnnycaffeine,Will the number of FBI firearms background checks initiated through the NICS exceed 2.4M for October 2024?,,"This question resolves as **Yes** if the National Instant Criminal Background Check System (NICS), which can be access through [this link](https://www.fbi.gov/file-repository/nics_firearm_checks_-_month_year.pdf/view), shows greater than 2,400,000 background check initiated in October 2024. If the number is less than or equal to 2,400,000, this question resolves as **No**.","Numbers are expected to be reported in the month subsequent, so for example October numbers are expected to be reported in November. In case of reporting delays, resolution will wait, until the question will be annulled in early January 2025 if there are no numbers reported by then for the time in question.","In the long term (since the turn of the 21st Century), firearms sales in the US have risen, surging in 2020, with numbers trending downward since. Starting in July 2024, year-over-year monthly numbers have again begun trending upward.",11/5/24,11/6/24,11/17/24
,johnnycaffeine,Will the number of FBI firearms background checks initiated through the NICS exceed 2.6M for October 2024?,,"This question resolves as **Yes** if the National Instant Criminal Background Check System (NICS), which can be access through [this link](https://www.fbi.gov/file-repository/nics_firearm_checks_-_month_year.pdf/view), shows greater than 2,600,000 background check initiated in October 2024. If the number is less than or equal to 2,600,000, this question resolves as **No**.","Numbers are expected to be reported in the month subsequent, so for example October numbers are expected to be reported in November. In case of reporting delays, resolution will wait, until the question will be annulled in early January 2025 if there are no numbers reported by then for the time in question.","In the long term (since the turn of the 21st Century), firearms sales in the US have risen, surging in 2020, with numbers trending downward since. Starting in July 2024, year-over-year monthly numbers have again begun trending upward.",11/5/24,11/6/24,11/17/24
,johnnycaffeine,"Will Noodles & Co. file for bankruptcy before January 1, 2025?",,"This question will resolve as **Yes** if Noodles & Company files any petition for bankruptcy protection in the United States, under any chapter of the United States Bankruptcy Code, before January 1, 2025. The question will resolves on the filing of such a petition, not on whether any bankruptcy protection is granted by a court. If no such petition is filed by that date, this question will resolve as **No**.",,"Noodles & Company, a fast-casual diner founded in 1995, has faced years of negative net income since the pandemic (except for a small profit in 2021), and faces increased debt and interest expenses. The company has recently been [reported](https://www.nrn.com/fast-casual/noodles-company-considers-closing-around-20-underperforming-units) to be evaluating its restaurants and closing certain underperforming locations.",11/5/24,11/6/24,1/1/25
,johnnycaffeine,"Will the USDA-posted recall of Hickory Hollow's ready-to-eat jerky products be closed before December 1, 2024?",,"This question resolves as **Yes** if the status of the recall posted by the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) of Hickory Hollow's beef jerky and bacon jerky products produced on various dates between Jan. 19, 2024-Aug. 21, 2024 is changed from Active to Closed when [this page](https://www.fsis.usda.gov/recalls-alerts/hickory-hollow-jerky-recalls-ready-eat-jerky-products-produced-without-benefit) is accessed by Metaculus after November 30, 2024.  If the recall is still shown as Active when the link is accessed by Metaculus, this question resolves as **No**.",No other resolution source will be considered.,"According to the Alabama Media Group on [September 4, 2024](https://www.al.com/life/2024/09/6229-pounds-of-jerky-from-alabama-company-recalled.html), ""Ready-to-eat jerky products from an Alabama-based company are being recalled. The products were shipped to retail locations in Alabama, Florida, Georgia, North Carolina, and Oklahoma. The products were also sold on the internet. So far, there have been no confirmed reports of adverse reactions due to consumption of these products, according to the USDA. Anyone concerned about a reaction should contact a healthcare provider.""",11/5/24,11/6/24,12/1/24
https://www.metaculus.com/questions/22017/waymo-states-january-2026/,johnnycaffeine,"On December 31, 2024, will exactly 4 US states have Waymo's rider-only ride-hailing service available to the general public?
",,.p,.p,.p,11/6/24,11/7/24,12/31/24
,BrunoParga,Will Atlético Mineiro win the 2024 Copa Libertadores?,,This question resolves as **Yes** if Atlético Mineiro is the champion of the 2024 Copa Libertadores.,Resolves according to [credible sources](https://www.metaculus.com/help/faq/#definitions).,"Copa Libertadores is South America's top-tier association football championship; the two-legged semifinals for the current tournament take place between October 22nd and 30th, with the single-match final taking place on November 30 at the Monumental stadium in Buenos Aires, Argentina.",11/6/24,11/7/24,12/2/24
,johnnycaffeine,"Will Mike Tyson have a public boxing match before January 1, 2025?",,"This question resolves as **Yes** if according to credible sources Mike Tyson has a public boxing match before January 1, 2025. If there are no such reports that this has occured, this question resolves as **No**.",,"At the time of this question, Mike Tyson is scheduled to box against Jake Paul on November 15, 2024. However, it has previously been postponed. For more information please see [Wikipedia Jake Paul vs. Mike Tyson](https://en.wikipedia.org/wiki/Jake_Paul_vs._Mike_Tyson)",11/6/24,11/7/24,1/1/25
https://www.metaculus.com/questions/28706/o1-ranked-1-in-all-categories-dec-30-2024/,johnnycaffeine,"Will OpenAI's o1 remain the top LLM in all categories of Chatbot Arena on November 30, 2024?
",,"This questions resolves as **Yes** if a single o1 model has the same or higher rank than all non-o1 models in all of the following 9 categories on [Chatbot Arena](https://lmarena.ai/), on November 30, 2024:

- Overall
- Overall w/ Style Control
- Hard Prompts (Overall)
- Hard Prompts (Overall) w/ Style Control
- Instruction Following
- Coding
- Math
- Multi-turn
- Longer Query

If all o1 models have at least one category in which they are worse than a non-o1 model, this question resolves as **No**.",.p,.p,11/6/24,11/7/24,11/30/24
https://www.metaculus.com/questions/17100/us-api-restrictions-on-ai-before-2026/,johnnycaffeine,"Will the US restrict access outside the US to some APIs to generative AI before 2025?
",,"This question resolves as YES if, by Dec 31 2024, US law requires at least some powerful generative AI systems to restrict API access to only people in the US, and NO otherwise.
",.p,.p,11/6/24,11/7/24,1/1/25
,johnnycaffeine,"Will Kalshi outrank Coinbase in the top free Finance apps on December 31, 2024?",,"This question resolves as **Yes** if, on December 31, 2024, according to the Apple App Store at [this link](https://apps.apple.com/us/charts/iphone/finance-apps/6015?chart=top-free), on or after December 31, 2024 Kalshi has a higher rank than Coinbase when accessed by Metaculus Admins. If this is not the case, this question resolves as **No**.","No other resolution source will be considered. In case of the resolution source being down, Metaculus Admins will wait until January 7, 2025, at which point this question will be annulled.","On October 11, 2024, the CEO of Kalshi [tweeted](https://x.com/mansourtarek_/status/1844770826446319930) that Kalshi's app had surpassed Coinbase in the rankings, in the wake of Kalshi enabling betting on the US election. A day later, Coinbase had again taken the lead over the Kalshi app, so this question looks at whether the initial momentum continues or fades. ",11/6/24,11/7/24,12/31/24
https://www.metaculus.com/questions/2788/ai-human-emulation-laws-before-2025/,johnnycaffeine,"Before December 1, 2024, will laws be in place requiring that AI systems that emulate humans must reveal to people that they are AI?
",,.p,.p,.p,11/6/24,11/7/24,12/1/24
https://www.metaculus.com/questions/19824/netanyahu-charged-by-icc/,johnnycaffeine,Will the International Criminal Court bring charges against Benjamin Netanyahu before 2025?,,"This question will resolve Yes if, before January 1, 2025, the International Criminal Court brings charges against Benjamin Netanyahu.

Per the [Rome Statute](https://www.icc-cpi.int/sites/default/files/RS-Eng.pdf)—the founding statute of the ICC—the court may bring charges within the following [categories](https://www.icc-cpi.int/about/how-the-court-works):

- Genocide
- Crimes against humanity
- War crimes
- Crimes of aggression
- Offences against the administration of justice

The ICC announcing either an indictment, summons, or an arrest warrant is sufficient for a Yes resolution.",.p,.p,11/6/24,11/7/24,1/1/25
https://www.metaculus.com/questions/7792/100-deaths-in-chinataiwan-conflict-by-2026/,johnnycaffeine,Will armed conflicts between the Republic of China (Taiwan) and the People's Republic of China (PRC) lead to at least 100 deaths before 2025?,,"This question will resolve as **Yes** if, at any time before January 1, 2025, either of the following occur:

*    There are at least three credible government sources reporting at least one exchange of weapon fire between the national military forces or law enforcement personnel of Taiwan and the People's Republic of China causing a total of at least 100 deaths.
*    There are at least three credible news reports that at least one exchange of weapon fire between the national military forces or law enforcement personnel of the Republic of China (Taiwan) and the People's Republic of China causing a total of at least 100 deaths.

Please note: positive resolution could in theory be the result of a few incidents separated by multiple years if the total number of deaths from such incidents will reach at least 100 from now till the end of 2024.

This question will resolve as **No** otherwise.

In the context of this question, an armed conflict will be defined as a dispute that concerns a government and/or territory where the use of armed force between two parties, of which at least one is the government of a state, results in an exchange of weapon fire or detonations",.p,.p,11/6/24,11/7/24,1/1/25
,johnnycaffeine,"Before January 1, 2025, will Stripe announce on the news section of its website that it is planning an IPO?",,"This question will resolve as **Yes** if Stripe, Inc., announces at the News section of its website, before January 1, 2025, that it is planning an initial public offering. This section of its website can be accessed at the following link: https://stripe.com/newsroom/news If there is no such announcement before October 1, 2024, this question resolves as **No**. ","The news appearing at the specific resolution source is an important part of this forecast, so this question will resolve as No if an IPO announcement does not literally appear on the Newsroom section of Stripe's website, regardless of reporting from any other sources. Likewise, if the News section of its website, currently [here](https://stripe.com/newsroom/news) is unavaliable to Metaculus admins on January 1, 2025, this question resolves as No. 

Stripe's IPO need not happen before that date, merely the announcement that one is coming.","Stripe, which reported processing a full 1% of global GPD in its most recent [annual letter](https://stripe.com/annual-updates/2023), has long been speculated to be planning an IPO. In February 2024, it announced that its employees could cash out their privately-held shares. ",11/6/24,11/7/24,1/1/25
